"","Sample","tax","Mean"
"1","NXT075Mao276","Bacteroidetes",0.320561111832706
"2","NXT075Mao190","Bacteroidetes",0.262310301055304
"3","NXT075Mao275","Bacteroidetes",0.260009717298591
"4","NXT075Mao165","Bacteroidetes",0.2594447049367
"5","NXT075Mao161","Bacteroidetes",0.253940874079893
"6","NXT075Mao182","Bacteroidetes",0.219001926026734
"7","NXT075Mao181","Bacteroidetes",0.213782229641996
"8","NXT075Mao167","Bacteroidetes",0.192607399376609
"9","NXT075Mao277","Bacteroidetes",0.191686359586255
"10","NXT075Mao164","Bacteroidetes",0.177562532796921
"11","NXT075Mao280","Bacteroidetes",0.150863064787617
"12","NXT075Mao160","Bacteroidetes",0.138789816750707
"13","NXT075Mao273","Bacteroidetes",0.124869038216663
"14","NXT075Mao159","Bacteroidetes",0.112110109911872
"15","NXT075Mao191","Bacteroidetes",0.106321784346965
"16","NXT075Mao274","Bacteroidetes",0.106139760088829
"17","NXT075Mao166","Bacteroidetes",0.105184349297975
"18","NXT075Mao180","Bacteroidetes",0.103790263464275
"19","NXT075Mao184","Bacteroidetes",0.102953745171105
"20","NXT075Mao173","Bacteroidetes",0.0974679335748158
"21","NXT075Mao174","Bacteroidetes",0.0946511677327496
"22","NXT075Mao188","Bacteroidetes",0.086903101547453
"23","NXT075Mao177","Bacteroidetes",0.0809416317316995
"24","NXT075Mao271","Bacteroidetes",0.0786945249351838
"25","NXT075Mao272","Bacteroidetes",0.0767211855455622
"26","NXT075Mao267","Bacteroidetes",0.0757084473266457
"27","NXT075Mao186","Bacteroidetes",0.0710712101840013
"28","NXT075Mao168","Bacteroidetes",0.0666728116262636
"29","NXT075Mao169","Bacteroidetes",0.0649729376633072
"30","NXT075Mao178","Bacteroidetes",0.0607597188862201
"31","NXT075Mao279","Bacteroidetes",0.0606124902751255
"32","NXT075Mao278","Bacteroidetes",0.0578615125886568
"33","NXT075Mao179","Bacteroidetes",0.0571144830134645
"34","NXT075Mao183","Bacteroidetes",0.0569128262076624
"35","NXT075Mao162","Bacteroidetes",0.0563655388908266
"36","NXT075Mao269","Bacteroidetes",0.0552578596871612
"37","NXT075Mao176","Bacteroidetes",0.0513692391766349
"38","NXT075Mao170","Bacteroidetes",0.0492717526666306
"39","NXT075Mao270","Bacteroidetes",0.0443258377810832
"40","NXT075Mao185","Bacteroidetes",0.0430493445674913
"41","NXT075Mao172","Bacteroidetes",0.0426407983809059
"42","NXT075Mao187","Bacteroidetes",0.0380732887762157
"43","NXT075Mao268","Bacteroidetes",0.036203125
"44","NXT075Mao266","Bacteroidetes",0.0330301019013782
"45","NXT075Mao189","Bacteroidetes",0.0233695843451941
"46","NXT075Mao171","Bacteroidetes",0.0164294827755423
"47","NXT075Mao163","Bacteroidetes",0.0145612636215211
